Havayolu Şirketi,Uçak Tipi,ülke sınırları,Yıl,Hava Durumu,Ölü Sayısı,Kurtulan Sayısı
Cyprus Airways,de Havilland DH.106 Kuyruklu Yıldız 4B,0,2012,,66,0
Tuninter,ATR 72 – 202,0,2013,,16,23
Malaysia Airlines,Boeing 777-200ER,1,2013,,,
Scottish Airlines,Avro York,0,2013,,50,0
Aeroméxico,McDonnell Douglas DC-9-32,0,2013,,64,0
EgyptAir,Airbus A320-232,0,2014,,66,0
EgyptAir,Boeing 767-366ER,0,2015,,217,0
LAM Mozambique Airlines,Kucaklayıcı E190,0,2015,1,33,0
Partnair,Convair CV-580,0,2015,,55,0
Uzbekistan Airways,Yakovlev Yak-40,1,2016,1,37,0
TAROM,Airbus A310-324,1,2016,,60,0
TAROM,Boeing 737-300,1,2018,1,0,123
Si Fly,ATR 42 -300,0,2018,1,24,0
Singapore Airlines,Boeing 747-412,0,2018,1,83,96
Singapore Airlines,Airbus A310-324,1,2018,,4,125
Inex-Adria Aviopromet,McDonnell Douglas MD-81,0,2018,,180,0
Inex-Adria Aviopromet,McDonnell Douglas DC-9-32,0,2018,,75,45
Surinam Airways,McDonnell Douglas DC-8-62,1,2018,,176,11
LAN-Chile,Douglas DC-6B-404,1,2018,0,87,0
Thai Airways International,Airbus A310-304,0,2019,,113,0
Thai Airways International,Airbus A310-204,1,2019,0,101,45
TransAsia Airways,ATR72-600,1,2020,,43,15
Gulf Air,Airbus A320-212,0,2020,,143,0
Gulf Air,Boeing 737-2P6,0,2020,,112,0
Yemenia,Airbus A310-324,0,2020,,152,1
Olympic Airlines,Boeing 747-284B,1,2020,,0,418
Eastern Airlines,Lockheed L-1011-385-1 Üç Yıldızlı,0,2020,,101,75
Eastern Airlines,Douglas DC-9-31,0,2020,,72,10
Ethiopian Airlines,Boeing 737 MAX 8,1,2021,,157,0
